,Artista,Nombre,Nacionality
321,Sammy Johns,Sammy Davis Jr.,US
322,Van McCoy & the Soul City Symphony,Van McCoy & The Soul City Symphony,US
323,Melissa Manchester,Melissa Manchester,US
324,Paul Anka & Odia Coates,Paul Anka,CA
325,Wings,Wings,GB
326,The Blackbyrds,The Beatles,GB
327,Phoebe Snow,Phoebe Snow,US
328,Donny & Marie Osmond,Donny & Marie Osmond,US
329,David Geddes,David Bowie,
330,Tavares,Tavares,US
331,10cc,10cc,GB
332,Major Harris,Emmylou Harris,US
333,Mike Post,Mike Post,US
334,the Spinners,The Beatles,GB
335,Tony Camillo’s Bazuka,Bazuka,US
336,Electric Light Orchestra,Electric Light Orchestra,GB
337,Carol Douglas,Douglas Adams,GB
338,Harry Chapin,Harry Chapin,US
339,Jessi Colter,Jessi Colter,US
340,Aerosmith,Aerosmith,US
341,Eric Carmen,Eric Clapton,GB
342,Hall & Oates,Daryl Hall & John Oates,US
343,Bay City Rollers,Bay City Rollers,GB
344,Blue Oyster Cult,Blue Öyster Cult,US
345,Fleetwood Mac,Fleetwood Mac,GB
346,The Four Seasons,The Four Seasons,US
347,The Miracles,The Miracles,US
348,Wild Cherry,Wild Cherry,US
349,Queen,Queen,GB
350,Commodores,Commodores,US
351,The Bellamy Brothers,The Bellamy Brothers,US
352,Rufus featuring Chaka Khan,Chaka Khan,US
353,Nazareth,Nazareth,GB
354,Peter Frampton,Peter Frampton,GB
355,Andrea True Connection,The Andrea True Connection,US
356,Boz Scaggs,Boz Scaggs,US
357,Maxine Nightingale,Maxine Nightingale,GB
358,Orleans,Orleans,US
359,Elvin Bishop,Elvin Bishop,US
360,Starland Vocal Band,Starland Vocal Band,US
361,The Manhattans,The Beatles,GB
362,C. W. McCall,C.W. McCall,US
363,Heart,Heart,US
364,Gary Wright,Gary Wright,US
365,Ohio Players,Ohio Players,US
366,Rhythm Heritage,Rhythm Heritage,US
367,Harold Melvin & the Blue Notes,Harold Melvin & The Blue Notes,US
368,Wing and a Prayer Fife and Drum Corps,Wing & A Prayer Fife & Drum Corps,US
369,Dr. Hook,Dr. Hook,US
370,Dorothy Moore,Dorothy Moore,US
371,John Sebastian,Johann Sebastian Bach,DE
372,Pratt and McClain,Pratt & McClain,US
373,Donna Summer,Donna Summer,US
374,Walter Murphy & The Big Apple Band,Walter Murphy,US
375,Seals and Crofts (featuring Carolyn Willis),Seals & Crofts,US
376,David Ruffin,David Bowie,
377,Silver Convention,Silver Convention,DE
378,The Sylvers,The Beatles,GB
379,Cliff Richard,Cliff Richard,GB
380,Paul Anka,Paul Anka,CA
381,Starbuck,Starbuck,US
382,Henry Gross,Henry Purcell,GB
383,George Benson,George Benson,US
384,Vicki Sue Robinson,Vicki Sue Robinson,US
385,Rick Dees & His Cast of Idiots,Rick Dees & His Cast of Idiots,US
386,Elton John & Kiki Dee,Elton John,GB
387,Lou Rawls,Lou Rawls,US
388,England Dan & John Ford Coley,England Dan & John Ford Coley,US
389,The Brothers Johnson,The Brothers Johnson,US
390,"Barry DeVorzon and Perry Botkin, Jr.",Perry Botkin Jr.,US
391,The Beach Boys,The Beach Boys,US
392,Daryl Hall & John Oates,Daryl Hall & John Oates,US
393,Boston,Boston,
394,Andrew Gold,Andrew Gold,US
395,Kansas,Kansas,US
396,The Floaters,The Beatles,GB
397,Bob Seger & The Silver Bullet Band,Bob Seger & the Silver Bullet Band,US
398,Jimmy Buffett,Jimmy Buffett,US
399,Atlanta Rhythm Section,Atlanta Rhythm Section,US
400,Foreigner,Foreigner,US
401,Lord David Dundas,David Dundas,GB
402,Peter McCann,Peter Alexander,AT
403,Andy Gibb,Andy Gibb,AU
404,Bill Conti,Bill Conti,US
405,Burton Cummings,Burton Cummings,
406,Leo Sayer,Leo Sayer,GB
407,Manfred Mann,Manfred Mann,GB
408,The Jacksons,The Jacksons,US
409,Kenny Rogers,Kenny Rogers,US
410,"Crosby, Stills & Nash","Crosby, Stills & Nash",US
411,Heatwave,Heatwave,GB
412,Hot,Red Hot Chili Peppers,US
413,The Marshall Tucker Band,The Marshall Tucker Band,US
414,Al Stewart,Al Stewart,GB
