,Artist
773,Leif Garrett
774,Little River Band
775,John Paul Young
776,The Rolling Stones
777,Yvonne Elliman
778,Ambrosia
779,Bob Seger & The Silver Bullet Band
780,Jackson Browne
781,David Gates
782,Dolly Parton
783,Foreigner
784,Frankie Valli
785,Michael Johnson
786,Styx
787,the Who
788,Anne Murray
789,Dan Hill
790,Electric Light Orchestra
791,Foxy
792,Raydio
793,Bob Seger & The Silver Bullet Band
794,Linda Ronstadt
795,Linda Ronstadt
796,Steely Dan
797,Electric Light Orchestra
798,Eric Clapton
799,George Benson
800,John Travolta & Olivia Newton-John
801,Player
802,Andy Gibb
803,Meat Loaf
804,Paul Davis
805,Commodores
806,Eddie Money
807,Exile
808,Foreigner
809,Natalie Cole
810,Pablo Cruise
811,Paul Simon
812,The O’Jays
813,Andy Gibb
814,Roberta Flack & Donny Hathaway
815,A Taste of Honey
816,Chuck Mangione
817,Heatwave
818,Kenny Loggins & Stevie Nicks
819,Andy Gibb
820,Donna Summer
821,Paul McCartney & Wings
822,Jay Ferguson
823,Walter Egan
824,Alicia Bridges
825,Bob Welch
826,Chris Rea
827,"Earth, Wind & Fire"
828,Nick Gilder
829,Randy Newman
830,Atlanta Rhythm Section
831,L.T.D.
832,Sweet
833,Chic
834,Johnny Mathis & Deniece Williams
835,Lynyrd Skynyrd
836,Boston
837,High Inergy
838,Joe Walsh
839,Shaun Cassidy
840,Toby Beau
841,Captain & Tennille
842,Rod Stewart
843,Barry Manilow
844,Bonnie Tyler
845,John Travolta & Olivia Newton-John
846,England Dan & John Ford Coley
847,Bob Welch
848,Player
849,Suzi Quatro & Chris Norman
850,Toto
851,"Earth, Wind & Fire"
852,Billy Joel
853,Kiss
854,Herb Alpert
855,John Stewart
856,Chic
857,"Earth, Wind & Fire & The Emotions"
858,Commodores
859,Michael Jackson
860,Styx
861,Bobby Caldwell
862,Chic
863,Donna Summer and Brooklyn Dreams
864,KC & the Sunshine Band
865,Kenny Rogers
866,Nicolette Larson
867,The Doobie Brothers
868,Donna Summer
869,Patrick Hernandez
870,Cher
871,Ian Matthews
872,Rod Stewart
873,Supertramp
874,The Knack
875,Sister Sledge
876,Bee Gees
877,The Charlie Daniels Band
878,Bee Gees
879,Dire Straits
880,"Earth, Wind & Fire"
881,Cheap Trick
882,Cheryl Lynn
883,Donna Summer
884,Gloria Gaynor
885,Dr. Hook & The Medicine Show
886,Eric Clapton
887,Linda Ronstadt
888,Blondie
889,Kenny Rogers
890,Randy VanWarmer
891,Village People
892,Eagles
893,Kenny Rogers
894,Anita Ward
895,Andy Gibb
896,Anne Murray
897,Journey
898,Robert Palmer
899,Bee Gees
900,Maxine Nightingale
901,Peaches & Herb
902,Amii Stewart
903,Fleetwood Mac
904,Gino Vannelli
905,Hot Chocolate
906,The Knack
907,Ace Frehley
908,Little River Band
909,Peaches & Herb
910,M
911,Orleans
912,Chic
913,Neil Diamond & Barbra Streisand
914,Nick Lowe
915,Commodores
916,Bad Company
917,England Dan & John Ford Coley
918,Robert John
919,Al Stewart
920,Electric Light Orchestra
921,The Jacksons
922,David Naughton
923,Raydio
924,Rex Smith
925,Frank Mills
926,Leif Garrett
927,Alice Cooper
928,Bonnie Pointer
929,Barry Manilow
930,McFadden & Whitehead
931,Electric Light Orchestra
932,Rickie Lee Jones
933,GQ
934,Olivia Newton-John
935,Village People
936,Elton John
937,Paul McCartney & Wings
938,Bob Seger & The Silver Bullet Band
939,Sister Sledge
940,Melissa Manchester
941,Dr. Hook
942,Dionne Warwick
943,Donna Summer
944,Eagles
945,The Emotions
946,Simon & Garfunkel
947,Aretha Franklin
948,Orleans
949,Peter Brown
950,Roberta Flack
951,Bad Company
952,The Pointer Sisters
953,Ohio Players
954,The Beatles
955,"Earth, Wind & Fire"
956,The New Seekers
957,The Hillside Singers
958,Little River Band
959,Styx
960,The Jackson 5
961,Gloria Gaynor
962,Gladys Knight & the Pips
963,Stephen Bishop
