,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year,Track_Length,Track_Word_Length,Track_Transformed,Track_Language
81,jam up and jelly tight,Tommy Roe,2:20,4,0.669,0.784,10,-6.648,0,0.0505,0.00708,0.121,0.0637,0.681,121.768,26,1970,22,5,jam up  jelly tight,ENGLISH
82,for the love of him,Bobbi Martin,3:13,4,0.5,0.81,6,-7.646,0,0.0474,0.0878,0.0607,0.127,0.545,132.046,25,1970,19,5,  love  him,ENGLISH
83,something’s burning,Kenny Rogers & The First Edition,2:46,4,0.635,0.566,5,-8.696,1,0.0246,0.372,0.0173,0.106,0.481,109.089,25,1970,19,2,something’s burning,ENGLISH
84,i’ll never fall in love again,Dionne Warwick,4:15,3,0.358,0.547,4,-6.355,1,0.0287,0.794,0.00908,0.108,0.275,145.914,24,1970,29,6, never fall  love again,ENGLISH
85,la la la (if i had you),Bobby Sherman,2:42,4,0.232,0.644,9,-10.51,1,0.0494,0.741,4.65e-05,0.743,0.897,200.423,20,1970,23,7,la la la   had you,ENGLISH
86,(if you let me make love to you then) why can’t i touch you?,Ronnie Dyson,3:23,4,0.398,0.692,0,-8.596,1,0.045,0.496,0.0,0.394,0.65,93.907,20,1970,60,14, you let  make love  you then    touch you?,ENGLISH
88,somebody’s been sleeping,100 Proof (Aged in Soul),2:42,4,0.799,0.528,11,-15.649,0,0.0731,0.0122,0.739,0.0479,0.826,148.03,13,1970,24,3,somebody’s been sleeping,ENGLISH
90,if,Bread,2:52,4,0.457,0.499,1,-6.67,1,0.0334,0.247,6.34e-05,0.171,0.0348,127.95,84,1971,2,1,,ENGLISH
91,your song,Elton John,4:01,4,0.552,0.315,3,-11.028,1,0.0299,0.828,5.52e-06,0.101,0.324,128.187,80,1971,9,2, song,ENGLISH
92,wild world,Cat Stevens,3:20,4,0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,79,1971,10,2,wild world,ENGLISH
93,proud mary,Ike & Tina Turner,3:07,4,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,76,1971,10,2,proud mary,ENGLISH
94,"take me home, country roads",John Denver,3:17,4,0.38,0.43,9,-12.564,1,0.0288,0.546,1.71e-05,0.188,0.547,82.204,75,1971,27,5,"take  home, country roads",ENGLISH
95,imagine,John Lennon / Plastic Ono Band,3:07,4,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,75,1971,7,1,imagine,FRENCH
